Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
507,DR. MURLI MANOHAR JOSHI,Varanasi,BJP,1,Doctorate,"Rs 5,44,75,345  ~ 5 Crore+",Rs 0  ~
514,B. JHANSI,Vizianagaram,INC,1,Post Graduate,"Rs 2,29,51,539  ~ 2 Crore+",Rs 0  ~
519,BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS,1,Graduate,"Rs 3,03,99,471  ~ 3 Crore+","Rs 24,30,911  ~ 24 Lacs+"
2,DR. RAMSHANKAR,Agra,BJP,0,Doctorate,"Rs 15,11,000  ~ 15 Lacs+","Rs 6,39,959  ~ 6 Lacs+"
4,KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,"Rs 2,61,22,439  ~ 2 Crore+","Rs 7,09,488  ~ 7 Lacs+"
6,SACHIN PILOT,Ajmer,INC,0,Post Graduate,"Rs 4,64,89,558  ~ 4 Crore+",Rs 0  ~
7,RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,"Rs 44,00,000  ~ 44 Lacs+","Rs 8,38,099  ~ 8 Lacs+"
9,K C Venugopal,Alappuzha,INC,0,Post Graduate,"Rs 35,33,704  ~ 35 Lacs+","Rs 2,03,374  ~ 2 Lacs+"
10,P K Biju,Alathur,CPM,0,Post Graduate,"Rs 4,61,000  ~ 4 Lacs+",Rs 0  ~
11,RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,"Rs 3,40,34,506  ~ 3 Crore+",Rs 0  ~
12,Manohar Tirkey,Alipurduars,RSP,0,10th Pass,"Rs 23,58,725  ~ 23 Lacs+",Rs 0  ~
13,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,0,Graduate Professional,"Rs 1,86,40,164  ~ 1 Crore+","Rs 2,26,475  ~ 2 Lacs+"
14,PRADEEP TAMTA,Almora,INC,0,Post Graduate,"Rs 15,90,000  ~ 15 Lacs+",Rs 0  ~
15,JITENDRA SINGH,Alwar,INC,0,Graduate,"Rs 6,79,67,810  ~ 6 Crore+",Rs 0  ~
17,SELJA,Ambala,INC,0,Post Graduate,"Rs 4,67,11,386  ~ 4 Crore+",Rs 0  ~
19,RAHUL GANDHI,Amethi,INC,0,Post Graduate,"Rs 2,32,74,706  ~ 2 Crore+","Rs 23,35,000  ~ 23 Lacs+"
21,NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,"Rs 47,48,283  ~ 47 Lacs+","Rs 3,00,000  ~ 3 Lacs+"
24,Sabbam Hari,Anakapalle,INC,0,12th Pass,"Rs 8,50,32,286  ~ 8 Crore+","Rs 4,50,000  ~ 4 Lacs+"
