,Sno_x,Candidate_x,Constituency,Party_x,Total Expenses in election,S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Total Sittings,No. of days member signed the register,Sno_y,Candidate_y,Party_y,Criminal Case,Education,Total Assets,Liabilities
334,399,ADHIKARI SUVENDU,Tamluk,AITC,"Rs 12,74,375 ~ 12 Lacs+",276,330,Shri    Suvendu   Adhikari                                ,15,2,West Bengal                                                 ,26,8,473,ADHIKARI SUVENDU,AITC,3,Graduate,"Rs 47,51,934  ~ 47 Lacs+",Rs 0  ~
335,400,VIJAY BAHUGUNA,Tehri Garhwal,INC,"Rs 15,32,942 ~ 15 Lacs+",42,78,Shri  Vijay  Bahuguna                                          ,15,2,Uttarakhand                                                 ,26,23,474,VIJAY BAHUGUNA,INC,0,Graduate Professional,"Rs 1,35,01,773  ~ 1 Crore+",Rs 0  ~
336,401,LINGAM P,Tenkasi,CPI,"Rs 18,65,365 ~ 18 Lacs+",295,349,Shri  P.  Lingam                                            ,15,2,Tamil Nadu                                                  ,26,26,475,LINGAM P,CPI,0,Graduate,"Rs 1,59,365  ~ 1 Lacs+","Rs 23,014  ~ 23 Thou+"
337,402,JOSEPH TOPPO,Tezpur,AGP,"Rs 18,97,448 ~ 18 Lacs+",390,447,Shri  Joseph  Toppo                                             ,15,2,Assam                                                       ,26,12,476,JOSEPH TOPPO,AGP,0,10th Pass,"Rs 9,36,292  ~ 9 Lacs+","Rs 5,35,000  ~ 5 Lacs+"
338,403,DR.SANJEEV GANESH NAIK,Thane,NCP,"Rs 21,04,048 ~ 21 Lacs+",152,200,Dr.  Sanjeev Ganesh  Naik                                              ,15,2,Maharashtra                                                 ,26,26,477,DR.SANJEEV GANESH NAIK,NCP,2,12th Pass,"Rs 3,04,15,344  ~ 3 Crore+",Rs 0  ~
339,405,AARON RASHID.J.M,Theni,INC,"Rs 4,61,540 ~ 4 Lacs+",37,73,Shri  J.M.  Aaron Rashid                                      ,15,2,Tamil Nadu                                                  ,26,18,479,AARON RASHID.J.M,INC,0,12th Pass,"Rs 24,89,74,573  ~ 24 Crore+","Rs 21,91,815  ~ 21 Lacs+"
340,406,Shashi Tharoor,Thiruvananthapuram,INC,"Rs 18,59,879 ~ 18 Lacs+",20,55,Dr.  Shashi  Tharoor                                           ,15,2,Kerala                                                      ,26,0,480,Shashi Tharoor,INC,1,Doctorate,"Rs 21,24,42,472  ~ 21 Crore+",Rs 0  ~
341,407,JEYADURAI S R,Thoothukkudi,DMK,"Rs 12,56,316 ~ 12 Lacs+",210,263,Shri  S. R.  Jeyadurai                                         ,15,2,Tamil Nadu                                                  ,26,15,481,JEYADURAI S R,DMK,0,Graduate,"Rs 8,75,26,313  ~ 8 Crore+","Rs 10,90,000  ~ 10 Lacs+"
342,408,P C Chacko,Thrissur,INC,"Rs 16,60,856 ~ 16 Lacs+",75,119,Shri  P.C.  Chacko                                            ,15,2,Kerala                                                      ,26,26,482,P C Chacko,INC,0,Post Graduate,"Rs 1,63,35,679  ~ 1 Crore+",Rs 0  ~
343,409,VIRENDRA KUMAR,Tikamgarh,BJP,"Rs 16,39,677 ~ 16 Lacs+",434,492,Shri    Virendra Kumar                                    ,15,2,Madhya Pradesh                                              ,26,26,483,VIRENDRA KUMAR,BJP,0,Doctorate,"Rs 25,51,466  ~ 25 Lacs+",Rs 0  ~
344,410,KUMAR.P,Tiruchirappalli,ADMK,"Rs 20,04,991 ~ 20 Lacs+",296,350,Shri  P.  Kumar                                             ,15,2,Tamil Nadu                                                  ,26,26,484,KUMAR.P,ADMK,0,Graduate Professional,"Rs 53,45,000  ~ 53 Lacs+","Rs 8,06,395  ~ 8 Lacs+"
345,411,RAMASUBBU S,Tirunelveli,INC,"Rs 20,12,739 ~ 20 Lacs+",177,227,Shri  S. S.  Ramasubbu                                         ,15,2,Tamil Nadu                                                  ,26,25,485,RAMASUBBU S,INC,0,Post Graduate,"Rs 3,47,06,447  ~ 3 Crore+","Rs 18,07,386  ~ 18 Lacs+"
346,412,SIVASAMI C,Tiruppur,ADMK,"Rs 3,09,712 ~ 3 Lacs+",283,337,Shri  C.  Sivasami                                          ,15,2,Tamil Nadu                                                  ,26,23,487,SIVASAMI C,ADMK,3,Post Graduate,"Rs 5,18,92,954  ~ 5 Crore+",Rs 0  ~
347,413,VENUGOPAL.P,Tiruvallur,ADMK,"Rs 12,81,256 ~ 12 Lacs+",251,305,Shri  P.  Venugopal                                         ,15,2,Tamil Nadu                                                  ,26,24,488,VENUGOPAL.P,ADMK,0,Graduate Professional,"Rs 20,74,236  ~ 20 Lacs+","Rs 3,50,000  ~ 3 Lacs+"
348,414,VENUGOPAL.D,Tiruvannamalai,DMK,"Rs 17,55,703 ~ 17 Lacs+",147,195,Shri  D.  Venugopal                                         ,15,2,Tamil Nadu                                                  ,26,22,489,VENUGOPAL.D,DMK,0,Others,"Rs 5,70,10,000  ~ 5 Crore+","Rs 15,38,546  ~ 15 Lacs+"
349,416,BAJU BAN RIYAN,Tripura East,CPM,"Rs 20,19,184 ~ 20 Lacs+",235,289,Shri  Baju Ban  Riyan                                             ,15,2,Tripura                                                     ,26,21,490,BAJU BAN RIYAN,CPM,0,Graduate,"Rs 36,95,981  ~ 36 Lacs+",Rs 0  ~
350,417,KHAGEN DAS,Tripura West,CPM,"Rs 17,40,286 ~ 17 Lacs+",243,297,Shri  Khagen  Das                                               ,15,2,Tripura                                                     ,26,9,491,KHAGEN DAS,CPM,0,Post Graduate,"Rs 34,92,580  ~ 34 Lacs+",Rs 0  ~
351,418,G.S. BASAVARAJU,Tumkur,BJP,"Rs 9,67,068 ~ 9 Lacs+",430,488,Shri  G.S.  Basavaraj                                         ,15,2,Karnataka                                                   ,26,25,492,G.S. BASAVARAJU,BJP,0,Graduate Professional,"Rs 5,43,82,029  ~ 5 Crore+","Rs 87,61,621  ~ 87 Lacs+"
352,419,AGATHA K. SANGMA,Tura,NCP,"Rs 16,94,562 ~ 16 Lacs+",91,136,Km.  Agatha K.  Sangma                                            ,15,2,Meghalaya                                                   ,26,0,493,AGATHA K. SANGMA,NCP,0,Post Graduate,"Rs 66,44,295  ~ 66 Lacs+",Rs 0  ~
353,420,Raghuveer singh,Udaipur,INC,"Rs 15,66,128 ~ 15 Lacs+",183,233,Shri  Raghuvir Singh  Meena                                             ,15,2,Rajasthan                                                   ,26,25,494,Raghuveer singh,INC,0,Graduate,"Rs 67,53,883  ~ 67 Lacs+","Rs 17,50,000  ~ 17 Lacs+"
354,421,CH. LAL SINGH,Udhampur,INC,"Rs 14,82,694 ~ 14 Lacs+",45,80,Chaudhary  Lal  Singh                                             ,15,2,Jammu and Kashmir                                           ,26,21,495,CH. LAL SINGH,INC,0,Graduate,"Rs 17,62,378  ~ 17 Lacs+","Rs 26,50,000  ~ 26 Lacs+"
355,422,D.V.Sadananda Gowda,Udupi Chikmagalur,BJP,"Rs 14,99,820 ~ 14 Lacs+",420,478,Shri  D.V. Sadananda  Gowda                                             ,15,2,Karnataka                                                   ,26,11,496,D.V.Sadananda Gowda,BJP,0,Graduate Professional,"Rs 1,43,75,959  ~ 1 Crore+","Rs 24,86,447  ~ 24 Lacs+"
356,423,GUDDU PREMCHAND,Ujjain,INC,"Rs 17,65,366 ~ 17 Lacs+",212,265,Shri  Premchand  Guddu                                             ,15,2,Madhya Pradesh                                              ,26,22,498,GUDDU PREMCHAND,INC,3,5th Pass,"Rs 10,50,31,313  ~ 10 Crore+","Rs 15,00,000  ~ 15 Lacs+"
357,425,ANNUTANDON,Unnao,INC,"Rs 16,60,262 ~ 16 Lacs+",118,165,Smt.  Annu  Tandon                                            ,15,2,Uttar Pradesh                                               ,26,25,500,ANNUTANDON,INC,1,Graduate,"Rs 42,13,52,753  ~ 42 Crore+",Rs 0  ~
358,426,Ananthkumar Hegde,Uttara Kannada,BJP,"Rs 12,55,616 ~ 12 Lacs+",426,484,Shri  Anant Kumar  Hegde                                             ,15,2,Karnataka                                                   ,26,23,501,Ananthkumar Hegde,BJP,3,12th Pass,"Rs 64,27,192  ~ 64 Lacs+","Rs 39,55,458  ~ 39 Lacs+"
359,427,Mullappally Ramachandran,Vadakara,INC,"Rs 12,69,623 ~ 12 Lacs+",15,41,Shri  Mullappally  Ramachandran                                      ,15,2,Kerala                                                      ,26,0,502,Mullappally Ramachandran,INC,0,Post Graduate,"Rs 33,16,300  ~ 33 Lacs+","Rs 5,02,346  ~ 5 Lacs+"
360,428,BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP,"Rs 17,76,632 ~ 17 Lacs+",468,527,Shri  Balkrishna Khanderao  Shukla                                            ,15,2,Gujarat                                                     ,26,18,503,BALKRISHNA KHANDERAO SHUKLA,BJP,1,Graduate,"Rs 26,62,058  ~ 26 Lacs+","Rs 2,16,512  ~ 2 Lacs+"
361,429,BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U),"Rs 22,04,239 ~ 22 Lacs+",347,403,Shri  Baidyanath Prasad  Mahto                                             ,15,2,Bihar                                                       ,26,21,505,BAIDYANATH PRASAD MAHTO,JD(U),1,10th Pass,"Rs 44,28,802  ~ 44 Lacs+","Rs 5,20,445  ~ 5 Lacs+"
362,430,KISANBHAI VESTABHAI PATEL,Valsad,INC,"Rs 12,99,760 ~ 12 Lacs+",108,154,Shri  Kishan V.  Patel                                             ,15,2,Gujarat                                                     ,26,24,506,KISANBHAI VESTABHAI PATEL,INC,2,12th Pass,"Rs 15,20,245  ~ 15 Lacs+",Rs 0  ~
363,431,DR. MURLI MANOHAR JOSHI,Varanasi,BJP,"Rs 18,66,940 ~ 18 Lacs+",397,454,Dr.  Murli Manohar  Joshi                                             ,15,2,Uttar Pradesh                                               ,26,25,507,DR. MURLI MANOHAR JOSHI,BJP,1,Doctorate,"Rs 5,44,75,345  ~ 5 Crore+",Rs 0  ~
364,432,ABDULRAHMAN,Vellore,DMK,"Rs 14,80,724 ~ 14 Lacs+",159,207,Shri    Abdul Rahman                                      ,15,2,Tamil Nadu                                                  ,26,22,508,ABDUL RAHMAN,DMK,0,Graduate,"Rs 1,25,47,128  ~ 1 Crore+","Rs 32,97,328  ~ 32 Lacs+"
365,433,SUSHMA SWARAJ,Vidisha,BJP,"Rs 8,92,957 ~ 8 Lacs+",400,458,Smt.  Sushma  Swaraj                                            ,15,2,Madhya Pradesh                                              ,26,26,509,SUSHMA SWARAJ,BJP,0,Graduate Professional,"Rs 7,35,82,637  ~ 7 Crore+","Rs 58,250  ~ 58 Thou+"
366,434,ANANDAN M,Viluppuram,ADMK,"Rs 12,49,460 ~ 12 Lacs+",264,317,Shri  M.  Anandan                                           ,15,2,Tamil Nadu                                                  ,26,26,511,ANANDAN M,ADMK,0,12th Pass,"Rs 89,38,646  ~ 89 Lacs+","Rs 9,67,994  ~ 9 Lacs+"
367,435,Rajaiah Siricilla,Warangal,INC,"Rs 17,14,478 ~ 17 Lacs+",169,219,Shri  Rajaiah  Siricilla                                         ,15,2,Andhra Pradesh                                              ,26,26,515,Rajaiah Siricilla,INC,0,Graduate,"Rs 42,24,704  ~ 42 Lacs+","Rs 14,61,167  ~ 14 Lacs+"
368,436,M I Shanavas,Wayanad,INC,"Rs 15,80,237 ~ 15 Lacs+",194,246,Shri  M. I.  Shanavas                                          ,15,2,Kerala                                                      ,26,21,517,M I Shanavas,INC,0,Post Graduate,"Rs 2,39,04,424  ~ 2 Crore+","Rs 25,48,978  ~ 25 Lacs+"
369,437,BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS,"Rs 16,64,688 ~ 16 Lacs+",323,378,Smt.  Bhavana  Gawali                                            ,15,2,Maharashtra                                                 ,26,13,519,BHAVANA GAWALI (PATIL),SHS,1,Graduate,"Rs 3,03,99,471  ~ 3 Crore+","Rs 24,30,911  ~ 24 Lacs+"
